"name","magnet_link","Size","File","Age","Seed","Leech","Type"
"Burning Shadow 2018 720p WEB-DL H264 AC3-EVO[TGx]","magnet:?xt=urn:btih:930283d886747f7efa94c3302444dfa7435e0a0b&dn=Burning Shadow 2018 720p WEB-DL H264 AC3-EVO[TGx]&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","2.74 GB","3","2 hours ago","0","0","Movie"
"Cowgirls N Angels 2 Dakotas Summer 2014 720p BluRay H264 AAC RARBG","magnet:?xt=urn:btih:743e931b41a0840cbb114dbef22987489fcb68a0&dn=Cowgirls N Angels 2 Dakotas Summer 2014 720p BluRay H264 AAC RARBG&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","1.09 GB","2","3 hours ago","11","11","Movie"
"Here Comes The Devil 2012 SPANISH 1080p BluRay H264 AAC VXT","magnet:?xt=urn:btih:32600d5450b62e8cb59dbede641625ee4a28d4b7&dn=Here Comes The Devil 2012 SPANISH 1080p BluRay H264 AAC VXT&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","1.86 GB","3","3 hours ago","2","19","Movie"
"Iguana 1988 1080p BluRay H264 AAC RARBG","magnet:?xt=urn:btih:a4cda01cd660b2b41fd4335039025768de29d90a&dn=Iguana 1988 1080p BluRay H264 AAC RARBG&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","1.91 GB","2","3 hours ago","19","16","Movie"
"Big Bad Wolves 2013 1080p BluRay H264 AAC RARBG","magnet:?xt=urn:btih:68ab3d2af7d745a3f448e6c6d66db8ee34f0fca6&dn=Big Bad Wolves 2013 1080p BluRay H264 AAC RARBG&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","2.09 GB","3","3 hours ago","39","34","Movie"
"Mary Shelley 2018 BRRip XviD AC3-EVO[EtMovies]","magnet:?xt=urn:btih:82288f96b2f1cae36f92af754435ec01d5bd2566&dn=Mary Shelley 2018 BRRip XviD AC3-EVO[EtMovies]&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","1.39 GB","3","4 hours ago","46","62","Movie"
"Mary Shelley 2017 720p BluRay X264-AMIABLE[EtHD]","magnet:?xt=urn:btih:e002f2c8526f2e4e01853c902f5a3f8f1eafb9a2&dn=Mary Shelley 2017 720p BluRay X264-AMIABLE[EtHD]&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","5.52 GB","9","4 hours ago","14","11","Movie"
"Billionaire Boys Club 2018 LiMiTED DVDRip x264-LPD[EtMovies]","magnet:?xt=urn:btih:465b6b8742694dc2b2b2bab082306e5278c9d332&dn=Billionaire Boys Club 2018 LiMiTED DVDRip x264-LPD[EtMovies]&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","668.67 MB","9","4 hours ago","15","16","Movie"
"Damsel 2018 DVDRip x264-PSYCHD[EtMovies]","magnet:?xt=urn:btih:660fd5a08e45f4d3d7f39ec5d3edb2d4a18d0ca4&dn=Damsel 2018 DVDRip x264-PSYCHD[EtMovies]&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","686.22 MB","9","4 hours ago","32","27","Movie"
"Gods Pocket 2014 1080p BluRay H264 AAC RARBG","magnet:?xt=urn:btih:aea74f8876f287f0b25839e9054d6dba74c49cc7&dn=Gods Pocket 2014 1080p BluRay H264 AAC RARBG&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","1.69 GB","2","4 hours ago","34","44","Movie"
